,Date,Review_Score,Name,Review_Text
254,"June 8, 2019",3,Kim André Jac,"Fingeravtrykk login fungerer aldri, så hvorfor det er standard forårsaker kun i en delay før jeg kan velge bankid på mobil. Jeg savner også å kunne se saldoen før evt login, widgeten er statisk på skjermen min noe som gjør at hvem som helst kan få et glimt av hvor mye jeg har på konto. Ikke brukt appen så mye utover å finne disse to irritasjonsmomenter som veldig enkelt kan fikses (iallfall vise saldo i appen før login,.vær så snill!)"
255,"June 7, 2019",2,Bjørn Andersson,Virker etter siste oppdatering. Feilen 1010 ble erstattet av 1027. Måtte avinstallere Opera for å få den til å virke. Men denne gangen fungerer mobilbanken etter reinstall av Opera.
256,"June 10, 2019",1,Erik Steinsto,Få tilbake saldo uten innlogging... Widget holder ikke..
257,"June 15, 2019",1,Johnny Gulowsen,feiler etter en stund på finger avlesning.
258,"June 7, 2019",1,Christoffer Thomsen,
259,"June 10, 2019",1,Vuong Luong,
260,"June 6, 2019",3,Kristian Jul-Larsen,Får aldri logga inn - mer stabilt etter oppdatering
261,"April 15, 2019",1,Arild Ness Andreassen,"Da kom dagen da den gamle DNB app ble tvangsoppdatert. Testa denne i betaversjon før den ble lansert - da klarte jeg å logge inn etter 10-12 forsøk. Avinstalerte og installerte den ""gamle"" igjen samt deaktiverte oppdatering av denne.   Nå har jeg prøvd flere å logge inn snart 10 ganger og applikasjo...Full Review"
262,"May 10, 2019",3,Ørjan Sollie,"Har nå brukt denne appen en god stund. Biometrisk innlogging er en praktisk løsning på at man alltid må logge inn, selv om jeg fremdeles foretrakk den gamle appens funksjon hvor saldo ikke krever innlogging. Widget virker som en elendig løsning på dette, den krever plass på hjemskjermen og drar batteri unødvendig. Overføringer mellom egne konti er elegant, og fotografering av faktura er imponerende. Alt i alt er dette en grei bank-app når man blir vant med den, men jeg savner fortsatt den gamle."
263,"May 15, 2019",1,Vaktskjold,"Den nye appen er tregere, mindre oversiktlig og ustabil. Lite intuitiv og widget-en må svært ofte reautentiseres. Ikkje bra. Det eneste positive med appen er at den gir en widget for kjapp sjekk av konto fra hjemskjerm. Men som sagt, må widget-en ofte autentiseres på nytt. Jeg savnet den gamle appen...Full Review"
264,"April 15, 2019",2,Joe Gunnar Fjara,"så dårlig at d vurderes å bytte bank! den forrige appen tok 2sec å opne! mens den nye bruker x antall minutter!! å etter oppdatering til siste android, er d bare bankid som blir akseptert.... Hurra for DNB👏🤮 gir d et forsøk👏 et valg for resett av fingeravtrykk under instillinger hadde hvert bedre...Full Review"
265,"April 17, 2019",1,Peter J.,"Bug pålogging er fikset i 4.0.16. Men betaling og intern overføring virker ikke, uten først å velge fradato til minst en dag frem tid når man legger inn betaling om kvelden. Først da kan frakonto velges. Finner ikke språkvalg, ønsker norsk, men får engelsk."
266,"July 11, 2019",2,Andreas Hamre,Foto av regninger funker fortsatt bare halvparten av tiden og nesten aldri på regninger fra dnb forsikring. Hvorfor kan ingen utvikle et system med QR-koder? Samsung galaxy s9+
267,"May 14, 2019",3,William Riise,"Får ikke logget inn med fingeravtrykk. Rettelse: Får nå logget inn med fingeravtrykk, tidligere stod det ""an error has occurred"" og jeg ble sendt tilbake til innloggingsalternativene, dette ser ut til å ha blitt rettet nå. 3 stjerner grunnet mangel på funksjonalitet, blant annet oversikt over lån."
268,"May 9, 2019",1,Andreas Nicolaisen,"Klarer ikke å logge inn. Når jeg prøver med mobilbank får jeg bare Error 1012, men jeg kan logge meg inn med mobilbank via nettleser."
269,"May 2, 2019",2,julian skog,"logge inn med touch id er fortsatt veldig dårlig, det har en 50-60% sjanger for å komme deg inn, hvis du er uheldig må du fortsatt bruke bank id eller noen av de andre. hater virkelig hva de har gjort med denne appen. var drit bra før men gått rett i dass"
270,"May 4, 2019",3,Richard Karlsen,
271,"June 18, 2019",4,Juan Abreu,"Funker bra! Jeg kan overføre penger mellom kontoene mine, og å betale fakturaer har blitt enklere."
272,"May 3, 2019",5,Kent-Inge,"Har kjøpt ny mobil og appen fungerer strålende på den. Kan dere forbedre sliding til høyre og venstre av kommende fakturaer øverst på skjermen? må stryke på skjermen 30 ganger for å se faktura nr 3, og like mange ganger for å gå tilbake til den første. Mesteparten av tiden kommer ""reload page"" symbo...Full Review"
273,"April 15, 2019",5,Vi Le,"Appen slet litt med barndomsproblemer, men nå er alt som det skal være; innlogging ved bruk av fingeravtrykk funker nå og appen har blitt raskere. Veldig fornøyd med oppsettet og alle funksjonene appen tilbyr."
274,"May 11, 2019",1,Størker Moe,
275,"May 7, 2019",4,Eivind Antonsen,
276,"April 12, 2019",3,Kevin Fossnes,"Den har blitt brukenes, men det er vell det som er å si"
277,"April 17, 2019",1,Helge Hoel,"Dette er en wrapper DNB bruker for å tappe deg for personlige opplysninger og lokasjonsdata. etter innlogging åpner den bare den vanlige mobilbanken i chrome uansett. Spyware av verste sort, fra norges største (og tydeligvis mest useriøse) bank. edit: review oppdatert etter ønske/oppfordring fra DNB...Full Review"
278,"May 1, 2019",5,Shahab Mehraban,"Går det an å endre språket? Jeg lastet ned apen på UK market , vil heller ha den på norsk"
279,"June 1, 2019",1,Eirik Slettebø,
280,"May 7, 2019",1,A Google user,
281,"April 16, 2019",1,Kjell Steinar Birkeland,
282,"April 15, 2019",4,T H,Kan ikke se saldo uten innlogging
283,"April 17, 2019",3,A Google user,
284,"May 22, 2019",4,Frederik Holmvik,
285,"April 19, 2019",3,Robin Antonsen,ok app
286,"May 10, 2019",1,A Google user,fungerer ikke
287,"April 5, 2019",1,Kristoffer Flottorp,"Den gamle appen lot meg iallfall se hvor mye jeg hadde på konto, men denne nye bare krasjer hele tiden, enten ved oppstart eller ved visning av alle konti. Det er ikke akseptabelt at kundene skal finne seg i dette. Verken dårlig app eller ustabiliteter i tjenestene. Svar til DNB: Ja. Appen krasjer f...Full Review"
288,"May 22, 2019",3,A Google user,
289,"April 11, 2019",3,Gard I. Rosvold,"Oppdaterer ratingen etter bra dialog med support. Funksjonen som manglet fungerer ved å kjøre i en spesiell modus. Likevel syntes jeg fortsatt den er treig, det merkes at det er mye mangler fra nettbanken ift. forrige banken min. Foretrekker den ""gamle"" appen man kan komme til foran denne nye appen."
290,"April 5, 2019",1,Marius A,
291,"April 8, 2019",5,Mirwais Faqiri,
292,"April 5, 2019",4,John-Inge Korsvik,"Syntes denne appen fungerer meget bra, logger fint inn med fingeravtrykk og får gjort det som må gjøres. Ikke prøvd ""foto betaling"" enda, men synes det legges til nye funksjoner i passe fart. Vet vel ikke om noe jeg savner? Vel, ""tap""/kontaktløs betaling, men det har jeg på Garmin klokka. Få det på ...Full Review"
293,"April 3, 2019",2,Anna Salhus,
294,"March 28, 2019",1,Tina Pingvin,"Hvorfor slipper dere en oppdatering av app som ikke fungerer? Å gå fra en funksjonabel app til å ha en app under utvikling som ikke fungerer er heltett. Må konstant logge inn for å sjekke saldo eller for å navigere rundt. kan jo like godt logge inn i mobilbank for samme funksjon. Det fungerer bedre. å bruke widget eller gi fra meg fingeravtrykk til privateid mobilprodusent ""for enklere innlogging"" er uaktuelt. Rull tilbake gamle app og utvikle mer før dere slipper oppdatert app igjen."
295,"March 27, 2019",1,Arne R,"Tid har gått, nye oppdateringer. Jeg foreslår at Vipps låner bort sine programmerere til DNB en liten stund, sånn at jeg slipper å vente så fryktelig lenge på innlogging og annet når jeg skal gjøre enkle bankoppgaver. Og ... når jeg bruker Vipps for å sjekke saldoen :-/"
296,"March 17, 2019",1,Oyvind Orbak,
297,"March 14, 2019",5,Emil Værnes,Appen er veldig utdatert og stygg. Ser ut som den var laget for 100 år siden. Ødelegger hele inntrykket mitt av dnb. Når kommer oppdateringen det er snakk om?
298,"March 25, 2019",1,André Kristiansen,
299,"April 2, 2019",2,A Google user,Brukte appen til å sjekke saldo. Plutselig krever den innlogging med bankID for å få opp saldoen (pluss en del annen funksjonalitet). Kan sjekke saldo med widget - er ikke det jeg ønsker meg. En av de nye funksjonene er å betale regninger. Det fungerer tilsynelatende ikke. Har eksempelvis i dag prøv...Full Review
300,"April 4, 2019",1,Sofie Wilhelmine,
301,"March 22, 2019",1,Jonathan Kjølstad,
302,"April 4, 2019",1,Tadas Simokaitis,
303,"March 19, 2019",1,André Sørhus,"Justerer ned score nå til kun en stjerne. Noe jeg sjelden gjør for annet en ubrukelige apper. Men der er vi faktisk nå. Jeg kommer til å kun bruke banken på nettleser fremover. Og avinstallerer appen. Det er rett å slett uforståelig hvor lite funksjonalitet appen tilbyr: Lite intuitiv, merkelig navi...Full Review"
304,"March 17, 2019",4,Pepi,"Appen har mist många funktioner som den gamla appen hade. IF är fortfarande svår. ser stor potential i appen, men långt till dess. Men nu hitta jag en länk till det gamla IF i appen. så nu känns det bättre."
305,"March 26, 2019",1,Martin Gravdal,
306,"April 17, 2019",1,raudskjegg,"code brikke/mobil brikke for å logge inn ? rollback til den gamle !!! dritt. (edit1) ja så flott, like vanskelig det. NULL stjerner. (edit2)En må fortsatt bruke nettleseren. Latterlig. MINUS stjerner. App slettet."
307,"March 26, 2019",1,Andre Conan,
308,"April 3, 2019",1,Eivind H.C,
309,"April 14, 2019",1,Marius Ramnæs,Veldig treg/lite responsiv. Edit: da må dere evt gjøre den raskere/mer responsiv... Er ikke tanken som teller her.
310,"March 14, 2019",3,Trond Bjergli,"Etter oppdatering av Android fikk jeg beskjed om å installere appen på nytt for å logge inn. Gjorde dette, men fortsatt feiler biometrisk innlogging - appen tvinger frem øyescanning, som jeg ikke har satt opp for, og fingerscanningen ligger utilgjengelig bak øyescanning. Fortsatt mye å gå på når det gjelder innlogging, men når man først har logget seg inn er den helt OK."
311,"April 9, 2019",3,Ole Jørgen Næss,ikke noe problemer med oppdatering og synes ny versjon fungerer mye bedre. Tommel opp!
312,"March 19, 2019",4,Gunnar Vaaga,
313,"April 6, 2019",1,Lars Arne Gipling,
314,"March 15, 2019",1,Tommy Peter Arthur Berg,
315,"March 15, 2019",1,Heath Ritchie,
316,"March 21, 2019",2,A Google user,
317,"April 2, 2019",1,Pavol Machata,
318,"March 28, 2019",4,Donald Alvarez,"Better then previous one, but still needs work."
319,"March 16, 2019",1,Thomas BhyphenH,
320,"March 25, 2019",1,Lukas Pilley,
321,"March 23, 2019",5,A Google user,wow
322,"March 14, 2019",1,Maria Kvilhaugsvik Tangen,
323,"March 30, 2019",5,bratty666,
324,"March 12, 2019",5,Stig Lau,"App krever tilgang til uforholdsmessig mye den ikke burde, som telefonkontakter og filer (bilder++). Ikke godta urettmessig brede forespørsler om rettigheter!. Fikset fom. mars 2019"
325,"March 12, 2019",3,James Martin,"Jeg mener at den gamle appen fortsatt var bedre, der man kunne sjekke de siste transaksjonene på samme sted som saldoen."
326,"March 12, 2019",1,Stian Sæten,"Mangelfull... Hvorfor kan jeg ikke få all information her? Forfallsoversikt, informasjon om lån, innboks for dialog med dere etc. Det er veldig uhensiktsmessig å måtte logge inn i fullversjonen på web på mobilen for å få tilgang til alt. Se feks hvordan SBanken sin app det ut."
327,"March 11, 2019",3,Ole Christian Båheim,
328,"March 11, 2019",1,Wkterr,
329,"March 11, 2019",1,Emily Productions,
330,"March 12, 2019",1,Mohan Ramar,"Har reinnstallert og fortsatt problemer med forstegang biometric innlogging, krasjer, tregere og uvoversikt. Den gamle appen var mye bedre."
331,"March 11, 2019",1,MindTreat,"Den Norske Bank, nå med ny og forbedret app. Eller nei, Den Engelske Bank er det jo nå, for norsk språkinstilling er jo borte vekk. Hva slags hull i hodet hadde personen som fikk gjennomslag på denne appen? Det var overhodet ingenting galt med forrige versjon, den har blitt værre. Og nå må jeg i til...Full Review"
332,"March 12, 2019",4,Pål F. Kristiansen,Appen fungere fint på min Pixel 2 XL.
333,"March 10, 2019",5,Muntaser Ahmed,
334,"March 12, 2019",1,mustafa cameraman,
335,"March 9, 2019",5,A Google user,
336,"March 9, 2019",5,Abdukadir Mohamed,
337,"February 8, 2019",1,Raymond Olsen,"Jeg pleier ikke å skrive slike tilbakemeldinger, men her MÅ jeg bare... Hvordan i alle dager?!??! klarer dere, DnB, etter så mange år, å lansere en så fantastisk lite intuitiv, men heller direkte vanskelig å bruke app??? Opplevelsen jeg sitter igjen med nå etter å ha brukt den litt, er en enorm frustrasjon over veldig tidkrevende og hverken innovative eller intuitive løsninger på selv de enkleste av bank-oppgaver. Her bør dere ta en titt på konkurrentene deres (Sparebanken, hint hint)"
338,"February 3, 2019",1,Kay Telle Hoel,
339,"February 22, 2019",1,Ingrid Birkelund,The horror! Hvorfor er den på engelsk? Hvorfor kan jeg ikke endre en fast betaling eller hvilken konto jeg skal betale den fra? Hvorfor skal man måtte logge inn fra scratch hver gang? ...og så mye mer. Danske bank slår DnB ned i støvlene. man ville jo forventet mer fra Norges største bank.
340,"January 30, 2019",1,Ole Marius Hansen,Absolutt verste oppdatering jeg har sett noen gang. ta noe som virker og lag den på nytt uten alt det som gjorde den bra i første omgang. har ikke nok plass til og si at som er feil. men Kansje bare gå tilbake til den gamle appen eller i det minste gi folk som vil muligheten til og bruke den. minst brukervennlige app siden smart telefon ble oppfunnet.
341,"January 25, 2019",1,Rion,Vem in i helvete tyckte att det var en good ide att blockera Android användare med en custom rom!?? Det ska väll för fan inte ha någon betydelse om jag är root eller inte? Telefonen är mer säker än stock rom för jag har inte massa jävla bloatware installerat och kör en intern firewall ect. Ska ni börja blocka användare för att dom är inloggade som root i linux via webbläsaren eller Admin i Windows? Gör om gör rätt !
342,"January 25, 2019",1,A Google user,
343,"January 24, 2019",1,Hurr Durr,"når man endelig kom seg forbi diverse feilmeldinger så kan man ikke lenger se kontoer uten å logge inn, man kan heller ikke se ut/inn fra kontoer siste 30 dager som er en nyttig liten funksjon som jeg satte veldig stor pris på. Det er tragisk at DnB faktisk fjerner den gamle funksjonelle appen før d...Full Review"
344,"March 6, 2019",1,Per Olav Bergh,">>>>     Edit 06.03.2019.    Siden forrige oppdatering, har det vært mange app-krasj. Etter flere runder med reinnstallering av appen uten at noe bedrer seg, har jeg gitt opp. Appen er ubrukelig slik den er nå, og DNB ser ikke ut til å ta innover seg at mange tusen har problemer. Ser at de forsøker ...Full Review"
345,"January 25, 2019",1,Bare Karlsen,
346,"January 25, 2019",1,vaidas lenortavicius,
347,"January 29, 2019",1,Rimvydas Budrikis,
348,"January 26, 2019",1,Jonas Melfald,"hvem kron-idiot syntes det var en god ide å måtte bruke bankid og/eller kodebrikke for å bare sjekke saldoen sin?! takk, nå mã jeg ha 4G for å sjekke kontoen OG konstant ha med meg kodebrikka. man kunne jo ikke betale tegninger med den gamle appen så hva er faren??? man trengte jo kode der og og det var jo greit, MEN KODEBRIKKE?!!"
349,"February 24, 2019",1,djbusters,
350,"February 14, 2019",1,A Google user,"totally useless upgrade. now there is missing functionality, no more saldo without logging inn (which was touted as a big new feature, this was already inn and you removed it!), super slow to log in, tiny tiny text, hard to find the most usual of features, no saldo on transfer screen, an incredible amount of open in browser links. this is a downgrade in every sense of the word. Did you even think of senior citizens when making this? Also, not everyone has a biometric sensor on their phone."
351,"March 7, 2019",1,Victor Me,
352,"January 25, 2019",1,Helge Borchsenius,"Skulle være i beta testing, ikke sluppet på play store. Glad jeg har andre nettbanker som har fungerende app. Typisk eksempel at sjefer har satt en dato for lansering uansett om produktet er klart eller ikke. Man får holde seg til web versjon, denne appen er ikke verdt å bruke."
353,"January 24, 2019",1,Michel de Brisis,
354,"January 30, 2019",1,Kjetil Sagstad,"Dette var et skritt i feil retning. Jeg mistet oversikten. Bruker heller nettsiden. Den er urimelig treig, viser for mye informasjon jeg ikke trenger på bekostning av det som var nyttig med tidligere versjon."
355,"January 25, 2019",1,Ahmet Alp,
356,"January 31, 2019",1,Andreas Ramstad,
357,"February 15, 2019",1,Jason Hunter,Dnb har alltid vært talentløse og nå viser det seg også at utviklerne de har ansatt også er tilbakestående. Kan vi sparke sjefen som har ansvaret for denne app'en?
358,"March 8, 2019",1,Marius Weetman,"Brukte den gamle appen kun til å sjekke Saldo. Her feiler denne stort (og ikke nevn widgeten, den funger ikke i 80% av gangene jeg prøver (som er ukentlig)).   Jeg har falt tilbake til å bruke SMS for å sjekke Saldo, det er raskere og fungerer som oftest. Jeg er skuffet over at jeg må tilbake til 90 talls teknologi for å få en tjeneste som virker slik jeg ønsker."
359,"January 30, 2019",1,Joseph Cabrera,"Svært dårlig app! Får ikke logge meg inn selvom jeg brukte bankid på mobil, kodebrikke og pin. Kodebrikken min er nå sperret da jeg prøvde å bruke den altfor mange ganger. Helt ubrukelig app!"
360,"January 25, 2019",1,Petter Wøien,
361,"February 27, 2019",2,BK,Hei. Ja det hjalp å reinstallere Opera. etter 15 forsøk på å logge inn med bankid kom jeg inn. Appen kræsjer hver gang jeg har brukt den og er treg ved innlogging. gir dere 2/5 inntil videre.
362,"February 7, 2019",1,Ztaal3,
363,"February 1, 2019",1,Mathias Øya,"Lol. Widget som ""session expired"" etter noen timer. Man må så logge seg inn i nettbanken igjen for å få ny ""session"". Håpløst dnb, håpløst."
364,"February 4, 2019",1,Rasmus Ulv B Sund,
365,"January 30, 2019",3,Hans,
366,"February 10, 2019",1,Masood Rizvi,
367,"February 12, 2019",1,Simen Svarverud,Dette må være noe av det verste jeg har sett. Lovnaden var enklere nettbank via mobil... Ikke har jeg noe 'drag and drop' og nå sluttet fingeravtrykk og virke også. Gi meg den gamle til dere har en app som fungerer.
368,"February 24, 2019",1,Mads Solberg,
369,"March 12, 2019",1,Marius Agur Hagelund Lind,"Veldig begrenset funksjonalitet, støtter ikke rootede enheter. Standard DNB, synd de ikke kunne brukt litt av kompetansen Vipps har på app-utvikling. Basert på svaret fra DNB så er det tydeligvis viktigere å lage ting fra scratch enn å gjenbruke ting som virker. Kundene ville ha mer funksjonalitet i...Full Review"
370,"February 2, 2019",1,Nath Forland,
371,"January 31, 2019",1,Ham Ek,Oh. My. Lord. Får vondt av app-utvecklarna men de får skylla sig själva. De skulle ha väntat med releasen av den nya appen för det här är bara för FÖR dåligt. Som många andra redan har påpekat så var den gamla appen bättre och den kändes väldigt föråldrad. Har börjat se efter andra banker med bättre appar men ger DNB ett par veckor till för att se om de kan få ordning på det här.
372,"February 6, 2019",1,Jens Ulvestad,Er det mulig å laste ned den gamle? denne appen er helt ubrukelig. bare bugs og pålogging issues. Kan heller ikke sjekke saldo uten å logge på med bank id (finger id fungerer heller ikke)
373,"February 1, 2019",1,Graeme Johannessen,"Dette er ikke bra dessverre. Appen fungerte greit til å begynne med, men så sluttet fingeravtrykksID å virke. Så sluttet bankid på mobil å virke. Nå får jeg bare hvit skjerm. Har prøvd å avinstallere appen og starte på ny men ingenting virker nå. Appen er nå slettet. Telefon: Huawei Mate10pro med nyeste Android."
374,"January 25, 2019",1,Gaming Monkey,"Ka faen e dt dåkker har gjort me appen? Dn ser jo heilt førferdeli ut, ikkje dt at dt ikkje e brukanes mn ser førferdeli ut. Oi kan man ikkje se kontoen uten å logge inn hver gang? E dt mulig, æ tar tilbake dt at dn e brukanes, dæm prøvde å gå 2 skritt fram mn gikk 5 bak. Halve tida så vil dn jo ikk...Full Review"
375,"February 8, 2019",1,jephte mukuta,
376,"February 24, 2019",1,Renax111,"Den nye appen er laget kun for å se bedre ut, dette ""moderne"" disignet gjør det kun vanskeligere å bruke banken, mye mindre oversiktlig og funksjonellt"
377,"February 3, 2019",1,A Google user,
378,"February 28, 2019",1,Howie Andersen,"Fingeravtrykk virker ikke for å logge inn på Galaxy S9, og det gjør denne appen helt ubrukelig. Hva skjer? Har måttet reinstallere flere ganger pga dette, da det slutter å virke etter å først ha virket. Edit: reinstallerte en gang til, knappen med fingerprint login er nå vekk?"
379,"March 12, 2019",2,Saurav Thakur,Hvem er den smartingen som har kommet opp med denne idé? Hvorfor skal jeg ha saldoen min på en widget hvor alle kan se den?
380,"February 14, 2019",2,Andreas Løfsgaard,
381,"January 24, 2019",5,Nils,
382,"February 24, 2019",1,Kjell-Arvid Helgeneseth,"Etter stor-oppdateringen har jeg ikke kunnet logge inn en eneste gang via appen. Jeg får tastet inn bruker-ID'n, engangskoden, og mitt personlige passord. Deretter står hjulet og bare snurrer i all evighet. Får logget inn uten problemer gjennom nettleseren (både Edge og Chrome), men ikke appen. Har prøvd å avinstallere og legge inn appen på nytt, uten hell."
383,"March 5, 2019",1,Marius Aspaas,den siste oppdateringen gjorde at appen gikk fra 5 stjerner til 1. Håpløs i forhold til tidligere versjon. Er det noe måte å rulle oppdateringen tilbake? edit: login med fingeravtrykk funker ikke lenger. og plutselig lukker appen seg av seg selv. widgets med kontoinfo er ikke ønskelig. savner gamle ...Full Review
384,"February 17, 2019",1,Roy S. Thørn,"Vil ha tilbake den forige versjonen, denne tar jo to år å logge inn på. en enkel pinkode for login for å se kontoer hadde vært nok, skal du gjøre mer i appen må du logge inn med nettbankkoder o.l. Dere har faktisk bare byttet problematikken fra forrige app, fra enkel login til vanskelig, overføringe...Full Review"
385,"March 7, 2019",1,Jea Mikkelsen,"dårligste oppdateringen av en app noensinne. før var det enkelt å sjekke saldo, uten å måtte logge inn HVER GANG. nå må du logge inn bare for å sjekke saldo, og appen orker ikke å huske mobilnr ditt engang. Jeg bruker faktisk heller nettbank på pc enn denne appen. Jeg rett og slett hater den. nesten så jeg bytter bank så jeg kan ha sparebank appen i stedet!!"
386,"February 14, 2019",1,Trine Elisabeth Heggebakk,"Den nye oppdaterien er så teit. Det jeg bruker mobilbanken til er wn rask sjekk av kontoen og det er det. Denne nye gjør det bare vanskelig En annen ting, den wigeten er svær og klunky. jeg vil ikke han den saldoen min synlig på skjermen min hele tiden. jeg vi ha en ENKEL GUCKIN APP SOM IKKE TAR LAN...Full Review"
387,"March 3, 2019",1,A Google user,
388,"February 2, 2019",4,A Google user,"Kan ikke engang logge inn. Feilmelding 1010. Oppdatert 2. Februar 2019: kan bekrefte at feilmelding 1010 ble borte etter at Chrome ble reaktivert. Appen fungerer flott nå og grensesnittet er en stor forbedring fra før. Trekker en stjerne vekk pga unødvendig Chrome-avhengighet, men ellers bra!"
389,"February 4, 2019",1,Henrik Hermansen,
390,"February 26, 2019",1,Uno Michael Jakobsen,"ikke oppdater, hold deg til den gamle appen,denne er så uferdig at det gjør vondt... Men DnB, hvorfor vil dere ikke fikse appen på min kones Galaxy S9? En helt original tlf som ikke kan bruke bank app fordi den påstår den er rootet noe den absolutt ikke er. support hjelper jo ikke... så mener fremde...Full Review"
391,"February 21, 2019",1,Erotic Spartan,"Får bare feilmeldingen ""Couldn't load accounts"" med nyeste versjon per 20. februar."
392,"January 25, 2019",5,Liam Crouch,"DNB har fikset appen, og den er nå en av de bedre appene på play store. Bonuspoeng for å følge opp på mitt gamle review, og informere meg om at mye av det jeg klaget på tidligere var fikset, så jeg fikk oppdatert min anmeldelse. Vel fortjent. noen ting ligger enda litt rart (overføring mellom konto ...Full Review"
393,"February 25, 2019",1,A Google user,
394,"February 25, 2019",1,niklas gudahl tufte,
395,"February 11, 2019",1,A Google user,
396,"February 14, 2019",1,Fredrik Romsaas,
397,"January 30, 2019",2,Roar Sørli,
398,"January 28, 2019",1,Shane Byron,"Ingen mulighet for å sjekke saldo, eller overføre uten å logge inn hver gang. Dette er noe av det verste innleveringen jeg har sett. Hadde gitt 0 stjerner, men det er desverre ikke mulig . DnB kjenner ikkke kundene sine."
399,"February 26, 2019",1,Hawk LOS,
400,"February 14, 2019",3,Erik A. Fjeldstad,"Dette var et stort steg tilbake i brukervennlighet. Fingeravtrykk virker ikke lenger og hele prosessen med å sjekke saldo krever altså full pålogging som i vanlig nettbank. Edit: Takk for tilbakemelding, fant løsninga selv etter en del frem og tilbake. Dette burde dere opplyse om."
401,"January 28, 2019",1,Yalocin Dnalyørf,det var raskt og enkelt å sjekke saldo med en 4 sifret kode og overføre penger mellom egne kontoer osv og nå er det steinalder igjen vurderer å bytte bank. hva holder dere på med DnB??
402,"March 5, 2019",1,Henrik Udnes,
403,"March 6, 2019",1,Morgan S W,"DNB hva har dere gjort med appen deres.. *EDIT* Det funker å logge inn, men utrolig langsomt. Problemet ligger i å logge inn med fingeravtrykk, som funket før den helt ubrukelige oppdatering deres. Vurderer sterkt å bytte bank om dere ikke kan fikse dette"
404,"February 4, 2019",1,Trond Zaphirax,
405,"February 19, 2019",1,Joachim Vestskogen,
406,"February 4, 2019",1,Bjørn-Erik Thorud,
407,"February 1, 2019",1,A Google user,"Desverre må jeg bare inrømme at denne ""oppdateringen"" var en stor feiltakelse. Designen på appen virker mye mindre strømmlinjeformet og lite effektiv, ja til og med forvirrende. At vipps ikke er kombinert er også merkelig, men jeg lar ikke det trekke ned på hva jeg synes om appen helhetelig. I tille...Full Review"
408,"January 27, 2019",1,William,
409,"January 26, 2019",1,Kasper Rynning-Tønnesen,"Appen er blokkert på mobilen min, siden den tror den er rootet. Det er den ikke, jeg har en OnePlus 6T"
410,"January 24, 2019",4,Liridon K.,
411,"February 3, 2019",1,A Google user,
412,"January 27, 2019",4,Thomas Andersson,Etter mange oppdateringer så funker endelig appen igen. Widgeten for saldovisning er ett stort plus. Tips for dere som fortsatt sliter med inlogging er att prova en annan webbläsare för bankid verifiseringen. Google Chrome virket for meg medans Microsoft Edge ikke lastet den in riktig.
413,"February 1, 2019",1,Lisa-Marie Thompson,
414,"February 11, 2019",1,Morten Narverud,
415,"March 5, 2019",1,David Attayi,
416,"February 7, 2019",1,Daniele Aguilar,
417,"February 13, 2019",1,Emil,
418,"February 3, 2019",1,Øyvind Haldorsen,
419,"February 28, 2019",1,Jon Anders Øgaard,
420,"February 4, 2019",1,Tordenstjerne,
421,"February 9, 2019",1,Datsurb,
422,"February 8, 2019",2,Christian G. Jenssen,
423,"February 18, 2019",1,John Inge Sjøvaag Hervik,"virker ikke... kommer ikke forbi BankID for mobil siden.. Hei, er ikke noe mer å sende skjermdump av. Man kommer til siden der man får bankid for mobil ordene. Så skriver man inn personlig kode, men Dnb app oppdateres aldri. Har nå reinnstallert og virker foreløpig"
424,"January 31, 2019",1,Roberts Peculis,
425,"March 6, 2019",1,A Google user,"Krever innlogging etter hver oppstart, og får ingen forespørsel om å sette opp biometrisk lås. Genialt dårlig app. Kanskje vurdere å sjekke om appen fungerer før lansering, eller blir det for dyrt? Skjønner det altså, det er ikke som om dere er en av de største bankene i norden."
426,"January 27, 2019",2,Balázs Orbán,"Ny app, nye muligheter. Her er noen ideer: 1.Når appen åpnes, vis alle konto som har blitt valgt å bli vist, uten å måtte trykke på pil ned. Ikke forsvar dette med at ""det finnes en widget"". Savner denne funksjonaliteten fra appen og. 2.Mindre eksterne lenker, flere innebygde funksjoner. Det er en a...Full Review"
427,"January 25, 2019",1,Niclas Vangsnes,
428,"January 26, 2019",2,Tobias Lian,
429,"March 11, 2019",1,Argie F Stubergh,
430,"February 12, 2019",1,A Google user,
431,"January 28, 2019",1,Henrik Hafell,
432,"February 7, 2019",1,Kjetil Dahl-Hansen,
433,"January 25, 2019",1,A Google user,
434,"March 8, 2019",3,Vidar G,"Note 8, Android 9. Versjon 4.0.9 nekter å godta fingeravtrykk, som fungerer fint i andre apper, før etter en reinstallering av appen. Sirup fra versjon 4.0.4 ser ut til å ha minsket. Det hadde vært fint om appen ikke valgte språk etter hva OS-et er stilt inn på, men etter valg fra bruker."
435,"February 12, 2019",1,A Google user,
436,"January 30, 2019",1,Fredrik Krey Stubberud,
437,"February 12, 2019",1,Husam Al,
438,"January 31, 2019",1,Conor Farrell,
439,"February 24, 2019",1,Jay Monsen,
440,"February 6, 2019",1,Emil Andersen,
441,"January 28, 2019",1,Morteza H,
442,"February 26, 2019",1,MrPoulsen24,
443,"February 14, 2019",1,Richard Lund winther,
